	solver_type	prot_per_class	num_unlearned_samples	iter	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
7	wgd	3	118	1	0.0011104385058085	0.0009296099344889	0.03627	4.88398	4.88227	11592	7146.0	7148.0	7126	20	22	6726.0	5589	1557	1137	0.6611	0.6607	0.6064	0.7439	0.7438	0.6172	2927	1785.0	1783.0	1781	4	2	1720.0	1440	345	280	0.6616	0.6611	0.622	0.747	0.7469	0.6399
8	wgd	3	118	2	0.0011662046114603	0.0008462826410929	0.00707	4.88178	4.8795	11590	7144.0	7161.0	7132	12	29	6566.0	5926	1218	640	0.6606	0.6612	0.6341	0.7433	0.7434	0.6635	2927	1785.0	1786.0	1782	3	4	1650.0	1487	298	163	0.6616	0.6618	0.6399	0.747	0.747	0.679
9	wgd	3	586	0	0.0011361241340637	0.000862963994344	0.04836	4.88203	4.88413	11131	6856.0	6856.0	6827	29	29	6583.0	5918	938	665	0.6601	0.6601	0.6405	0.7426	0.7428	0.6916	2927	1785.0	1785.0	1777	8	8	1724.0	1556	229	168	0.6616	0.6621	0.6469	0.747	0.747	0.706
10	wgd	3	586	1	0.0011656522750854	0.0008541226387023	0.02705	4.88343	4.8818	11135	6859.0	6878.0	6832	27	46	6846.0	5883	976	963	0.6602	0.6604	0.6438	0.7433	0.7439	0.6875	2927	1785.0	1787.0	1779	6	8	1799.0	1553	232	246	0.6616	0.6615	0.6477	0.747	0.7475	0.6946
11	wgd	3	586	2	0.0010892987251281	0.00085422595342	0.04075	4.88376	4.88433	11134	6874.0	6847.0	6837	37	10	6607.0	5491	1383	1116	0.6606	0.6593	0.6246	0.7432	0.7431	0.6446	2927	1785.0	1774.0	1773	12	1	1732.0	1443	342	289	0.6616	0.6596	0.6367	0.747	0.747	0.6732
12	wgd	3	1171	0	0.0010879476865132	0.0008828004201253	0.04878	4.88243	4.88351	10583	6501.0	6488.0	6472	29	16	6164.0	5452	1049	712	0.6592	0.6576	0.6318	0.7409	0.7412	0.6835	2927	1785.0	1784.0	1781	4	3	1694.0	1491	294	203	0.6616	0.6603	0.6367	0.747	0.7472	0.6947
13	wgd	3	1171	1	0.0011153221130371	0.000877304871877	0.04313	4.88234	4.87953	10593	6501.0	6522.0	6473	28	49	5955.0	5336	1165	619	0.6579	0.6582	0.6175	0.7404	0.7411	0.6559	2927	1785.0	1787.0	1777	8	10	1632.0	1468	317	164	0.6616	0.662	0.6178	0.747	0.7474	0.6719
14	wgd	3	1171	2	0.0010209520657857	0.0008762558301289	0.01421	4.88213	4.88418	10596	6532.0	6542.0	6513	19	29	6093.0	5446	1086	647	0.6613	0.6608	0.6273	0.7431	0.7432	0.6788	2927	1785.0	1788.0	1782	3	6	1688.0	1508	277	180	0.6616	0.6612	0.6414	0.747	0.7472	0.6911
15	wgd	3	2342	0	0.0010134776433308	0.0009313980738321	0.04485	4.88293	4.88473	9573	5894.0	5883.0	5840	54	43	5413.0	4912	982	501	0.6599	0.6621	0.627	0.7418	0.7422	0.6643	2927	1785.0	1784.0	1767	18	17	1659.0	1500	285	159	0.6616	0.6663	0.6374	0.747	0.747	0.6809
16	wgd	3	2342	1	0.0009907007217407	0.0009432633717854	0.04503	4.88259	4.87875	9576	5924.0	5957.0	5905	19	52	5380.0	4857	1067	523	0.6629	0.6643	0.6257	0.7451	0.7453	0.6659	2927	1785.0	1791.0	1782	3	9	1624.0	1464	321	160	0.6616	0.6629	0.6291	0.747	0.747	0.6719
17	wgd	3	2342	2	0.000928521156311	0.0009539167086283	0.02631	4.88294	4.88121	9565	5876.0	5915.0	5851	25	64	5473.0	4878	998	595	0.661	0.6616	0.6243	0.7422	0.7447	0.6619	2927	1785.0	1800.0	1781	4	19	1681.0	1488	297	193	0.6616	0.6639	0.6333	0.747	0.7486	0.6752
0	sgd	1	2	0	0.0816954255104065	0.0002730965614318	0.02431	5.30888	5.30323	11706	8962.0	8962.0	8959	3	3	7262.0	6049	2913	1213	0.5689	0.5692	0.5911	0.7495	0.7496	0.6716	2927	2285.0	2285.0	2283	2	2	1847.0	1550	735	297	0.5643	0.5654	0.6023	0.7509	0.7509	0.6845
1	sgd	1	2	1	0.0803261399269104	0.0002771695454915	0.02763	5.29292	5.28649	11706	8962.0	8960.0	8959	3	1	8900.0	8547	415	353	0.5689	0.5687	0.5682	0.7495	0.7495	0.705	2927	2285.0	2285.0	2285	0	0	2251.0	2183	102	68	0.5643	0.5643	0.5603	0.7509	0.7509	0.7004
2	sgd	1	2	2	0.0812182585398356	0.0002907792727152	0.02065	5.29477	5.29362	11706	8961.0	8962.0	8959	2	3	6749.0	4930	4031	1819	0.5688	0.5692	0.6393	0.7496	0.7496	0.7133	2927	2285.0	2285.0	2284	1	1	1664.0	1241	1044	423	0.5643	0.5649	0.636	0.7509	0.7509	0.7048
3	sgd	1	12	0	0.0848315199216206	0.0004167517026265	0.018	5.27164	5.27264	11696	8954.0	8955.0	8952	2	3	8961.0	8675	279	286	0.5689	0.5691	0.5961	0.7496	0.7497	0.7413	2927	2285.0	2286.0	2284	1	2	2277.0	2206	79	71	0.5643	0.5651	0.5921	0.7509	0.7509	0.7441
4	sgd	1	12	1	0.0823189298311869	0.0004425843556722	0.02052	5.26947	5.26622	11696	8956.0	8956.0	8955	1	1	8825.0	8546	410	279	0.569	0.5691	0.5703	0.7499	0.7498	0.7271	2927	2285.0	2285.0	2285	0	0	2253.0	2186	99	67	0.5643	0.5643	0.5697	0.7509	0.7509	0.7381
5	sgd	1	12	2	0.0876205762227376	0.0004613200823465	0.02637	5.27223	5.26708	11696	8954.0	8954.0	8952	2	2	8790.0	8319	635	471	0.5688	0.569	0.6087	0.7496	0.7496	0.7333	2927	2285.0	2285.0	2285	0	0	2227.0	2114	171	113	0.5643	0.5643	0.6065	0.7509	0.7509	0.7394
6	sgd	1	118	0	0.0986103534698486	0.0005200147628784	0.03523	5.26811	5.25781	11591	8874.0	8883.0	8870	4	13	8904.0	8704	170	200	0.569	0.571	0.5926	0.7501	0.75	0.7484	2927	2285.0	2285.0	2282	3	3	2285.0	2235	50	50	0.5643	0.5659	0.5894	0.7509	0.7507	0.7539
7	sgd	1	118	1	0.1075997471809387	0.0004381775856018	0.02969	5.27058	5.26509	11590	8883.0	8885.0	8881	2	4	8928.0	8519	364	409	0.5685	0.5689	0.6165	0.749	0.749	0.7499	2927	2285.0	2286.0	2283	2	3	2271.0	2177	108	94	0.5643	0.5656	0.6083	0.7509	0.7509	0.7537
8	sgd	1	118	2	0.1077239632606506	0.0006492972373962	0.02894	5.26738	5.25835	11590	8877.0	8881.0	8875	2	6	8875.0	8614	263	261	0.5694	0.5703	0.5981	0.75	0.7499	0.7482	2927	2285.0	2282.0	2280	5	2	2272.0	2215	70	57	0.5643	0.5647	0.59	0.7509	0.7508	0.7524
9	sgd	1	586	0	0.1025908390680949	0.0006373008092244	0.07789	5.26809	5.24823	11135	8535.0	8565.0	8516	19	49	8575.0	8297	238	278	0.5692	0.5767	0.6038	0.7495	0.7496	0.7498	2927	2285.0	2283.0	2277	8	6	2289.0	2219	66	70	0.5643	0.5669	0.6003	0.7509	0.7509	0.7531
10	sgd	1	586	1	0.1017526507377624	0.0006255785624186	0.08606	5.26987	5.23074	11139	8541.0	8551.0	8525	16	26	8576.0	8324	217	252	0.5693	0.5729	0.6006	0.7485	0.7487	0.7512	2927	2285.0	2285.0	2279	6	6	2285.0	2222	63	63	0.5643	0.5674	0.5959	0.7509	0.7511	0.7572
11	sgd	1	586	2	0.105244223276774	0.0006500164667765	0.07691	5.26981	5.24212	11140	8521.0	8543.0	8501	20	42	8574.0	8241	280	333	0.5674	0.5736	0.6089	0.7484	0.7487	0.751	2927	2285.0	2286.0	2278	7	8	2286.0	2205	80	81	0.5643	0.5686	0.6052	0.7509	0.7513	0.7567
12	sgd	1	1171	0	0.0995581666628519	0.0006956497828165	0.15573	5.26792	5.21609	10589	8103.0	8150.0	8068	35	82	8153.0	7967	136	186	0.5676	0.5805	0.5933	0.7493	0.7496	0.7508	2927	2285.0	2300.0	2273	12	27	2295.0	2243	42	52	0.5643	0.5812	0.5926	0.7509	0.7511	0.7556
