	solver_type	prot_per_class	num_unlearned_samples	iter	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
6	wgd	1	330	0	0.0055896441141764	0.0006906350453694	0.00258	5.05735	5.05803	32620	21589.0	21589.0	21588	1	1	10734.0	685	20904	10049	0.6901	0.6902	0.3388	0.7379	0.7378	0.335	8238	5449.0	5448.0	5448	1	0	2715.0	169	5280	2546	0.6846	0.6845	0.343	0.7318	0.7317	0.341
7	wgd	1	330	1	0.0055293043454488	0.0006940166155497	0.00207	5.05583	5.05539	32621	21594.0	21593.0	21592	2	1	18850.0	11821	9773	7029	0.6902	0.6902	0.5462	0.7383	0.7383	0.5714	8238	5449.0	5449.0	5448	1	1	4774.0	3025	2424	1749	0.6846	0.685	0.5474	0.7318	0.7317	0.5725
8	wgd	1	330	2	0.0067597389221191	0.0008679747581481	0.00265	5.05518	5.0542	32621	21599.0	21602.0	21598	1	4	24295.0	19505	2094	4790	0.6905	0.6905	0.6995	0.7388	0.7387	0.7804	8238	5449.0	5450.0	5449	0	1	6157.0	4928	521	1229	0.6846	0.6846	0.7013	0.7318	0.7317	0.7833
9	wgd	1	1648	0	0.0088427543640136	0.0010468920071919	0.00518	5.05641	5.05623	31335	20731.0	20721.0	20719	12	2	16463.0	6860	13871	9603	0.6888	0.6888	0.4324	0.737	0.7371	0.4427	8238	5449.0	5446.0	5446	3	0	4340.0	1786	3663	2554	0.6846	0.6843	0.4398	0.7318	0.732	0.4498
10	wgd	1	1648	1	0.0087938427925109	0.0009395122528076	0.00461	5.05576	5.05539	31346	20768.0	20771.0	20767	1	4	22306.0	16384	4384	5922	0.6908	0.6908	0.6662	0.7384	0.7382	0.7229	8238	5449.0	5450.0	5449	0	1	5857.0	4285	1164	1572	0.6846	0.6846	0.6719	0.7318	0.7315	0.7178
11	wgd	1	1648	2	0.0089324633280436	0.0009658813476562	0.00518	5.0558	5.05368	31347	20742.0	20749.0	20741	1	8	19052.0	11177	9565	7875	0.6897	0.6897	0.6056	0.7381	0.7381	0.6406	8238	5449.0	5449.0	5448	1	1	5022.0	2936	2513	2086	0.6846	0.6841	0.6124	0.7318	0.7317	0.6431
12	wgd	1	3295	0	0.0054560899734497	0.0008224089940388	0.00409	5.05599	5.05667	29822	19711.0	19714.0	19711	0	3	15622.0	6761	12950	8861	0.6892	0.6894	0.5019	0.7371	0.737	0.4996	8238	5449.0	5449.0	5449	0	0	4293.0	1845	3604	2448	0.6846	0.6846	0.5066	0.7318	0.7317	0.5063
13	wgd	1	3295	1	0.0049989263216654	0.0008240977923075	0.0068	5.05573	5.05634	29823	19750.0	19740.0	19739	11	1	18121.0	10988	8762	7133	0.6906	0.6906	0.5834	0.7387	0.7385	0.6224	8238	5449.0	5446.0	5445	4	1	4996.0	3044	2405	1952	0.6846	0.6848	0.5878	0.7318	0.7316	0.6226
14	wgd	1	3295	2	0.0062777082125345	0.0008239388465881	0.00526	5.05563	5.0563	29818	19759.0	19749.0	19747	12	2	20459.0	13810	5949	6649	0.6913	0.6913	0.659	0.7393	0.7388	0.7193	8238	5449.0	5448.0	5446	3	2	5651.0	3825	1624	1826	0.6846	0.6854	0.6606	0.7318	0.7313	0.7194
15	wgd	1	6590	0	0.0027516603469848	0.0006641705830891	0.01	5.05559	5.05882	26961	17889.0	17879.0	17877	12	2	18545.0	12251	5638	6294	0.6907	0.6904	0.6555	0.7398	0.7404	0.7196	8238	5449.0	5445.0	5445	4	0	5641.0	3718	1731	1923	0.6846	0.6838	0.6571	0.7318	0.7324	0.7222
